"id","name","title_id","prize_size","assort","title","series_id","release_month","Arrival_date","get_date","got_status","is_favorite","image_url","image_url1","image_url2","image_url3","image_url4","memo","created_at","updated_at","gravity_pred","gravity_actual"
"46","呪術廻戦 MAXIMATIC YUJI ITADORI-死滅回游Ⅱ‐","4","約20cm","全1種","呪術廻戦","16","2026-04","2026-04-23","2026-04-23","got","0","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776406096/Jujutsu_Kaisen_MAXIMATIC_YUJI_ITADORI-Shimetsu_Kaiyu_II_zl88bl.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776406096/Jujutsu_Kaisen_MAXIMATIC_YUJI_ITADORI-Shimetsu_Kaiyu_II2_g6dgww.jpg",,,,"MAXボリューム・MAX表現。
圧倒的なボリュームの存在感と満足感。バンプレストブランドの大型ポージングプライズフィギュア『MAXIMATIC』シリーズに、TVアニメ「呪術廻戦」から虎杖悠仁が登場！","0000-00-00 00:00:00","2026-05-04 18:52:31",NULL,NULL
"47","アニメ「鬼滅の刃」 MAXIMATIC DOMA","13","約20cm","全1種","鬼滅の刃","16","2026-05","2026-05-21",NULL,"got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777456752/kimetsu_no_yaiba_maximatic_doma_e8vwgk.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777456752/kimetsu_no_yaiba_maximatic_doma2_fye2rx.jpg",,,,"MAXIMATICシリーズに童磨が初登場！！舞うように戦う童磨をイメージ！","0000-00-00 00:00:00","2026-05-21 20:34:02",NULL,NULL
"48","ワンピース MAXIMATICPLUS MONKEY.D.LUFFY Ⅱ","2","約20cm","全1種","ワンピース","16","2026-06",NULL,"0000-00-00","un","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776406106/One_Piece_MAXIMATICPLUS_MONKEY_D_LUFFY_II_tlsubs.jpg",,,,,"MAXIMATICPLUSシリーズより「MONKEY.D.LUFFY」が登場。
火拳銃を放つ姿を豪華エフェクトで再現。","0000-00-00 00:00:00","2026-05-21 15:07:44",NULL,NULL
"49","ホロライブ #hololive IF -Relax time-大空スバル","18","約12cm","全1種","ホロライブ #hololive","18","2026-03","2026-03-26","2026-03-26","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458379/hololive_if_relax_time_oozora_subaru_ww8p4x.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458379/hololive_if_relax_time_oozora_subaru2_we9xdu.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458379/hololive_if_relax_time_oozora_subaru3_cardr3.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458380/hololive_if_relax_time_oozora_subaru4_d38bon.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458372/hololive_if_relax_time_oozora_subaru5_hghre6.jpg","ホロライブメンバーの様々なシチュエーションを妄想する『#hololive IF』シリーズ。ふとした瞬間の「オフショット」の、自然体で可愛い瞬間をとらえたフィギュアシリーズ「Relax time」にホロライブ2期生、『大空スバル』が登場。スバ友たち待望のオフスタイルの衣装でのフィギュア化！

『大空スバル』とは
ホロライブ2期生で総合格闘技部とe-sports部のマネージャーをしている。男勝りな性格で、誰とも分け隔てなく接する、明るく元気で活発な子。ゲームは絶賛練習中。今日も元気にマネージャー！！！！！！！！！！！","0000-00-00 00:00:00","2026-05-04 18:41:37",NULL,NULL
"50","ホロライブ #hololive IF -Relax time-白銀ノエル～だんちょむver.～","18","約12cm","全1種","ホロライブ #hololive","18","2026-03","2026-03-26","2026-03-26","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458372/hololive_if_relax_time_shirogane_noel_danchomu_ver_t02flf.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458372/hololive_if_relax_time_shirogane_noel_danchomu_ver2_flwql6.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458373/hololive_if_relax_time_shirogane_noel_danchomu_ver3_mrcgrf.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458372/hololive_if_relax_time_shirogane_noel_danchomu_ver4_hffvdz.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458373/hololive_if_relax_time_shirogane_noel_danchomu_ver5_trsu2m.jpg","ホロライブメンバーの様々なシチュエーションを妄想する『#hololive IF』シリーズ。ふとした瞬間の「オフショット」の、自然体で可愛い瞬間をとらえたフィギュアシリーズ「Relax time」にホロライブ3期生、「白銀ノエル」が登場。別人格「大空スバルグッズのコレクター、だんちょむ」姿でフィギュア化。

『白銀ノエル』とは
ホロライブ3期生でおっとりしているが、なんでも筋力でどうにかする物騒な面を持つ ゆるふわ脳筋女騎士。強さに憧れるあまり、つよつよな人達が集まるVTuber界に武者修行にきた。

『大空スバルグッズのコレクター、白銀だんちょむ』とは
2024年10月配信、ホロライブメンバーの私物オークション企画に突如として現れた謎の紳士。大空スバルの使用済みパジャマと片方だけの靴下が出品された際に落札していった白銀ノエルの別人格。","0000-00-00 00:00:00","2026-05-04 18:41:38",NULL,NULL
"51","Re:ゼロから始める異世界生活 -Relax time-ラム Sweet Angel ver.","17","約13cm","全1種","Re:ゼロから始める異世界生活","18","2026-04","2026-04-28","2026-04-28","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458377/tv_anime_re_zero_kara_hajimeru_isekai_seikatsu_yori_ram_ga_tenshi_no_yosoi_de_relax_time_ni_toujou_ggewr1.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458377/tv_anime_re_zero_kara_hajimeru_isekai_seikatsu_yori_ram_ga_tenshi_no_yosoi_de_relax_time_ni_toujou2_syuyzi.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458378/tv_anime_re_zero_kara_hajimeru_isekai_seikatsu_yori_ram_ga_tenshi_no_yosoi_de_relax_time_ni_toujou3_sdycrx.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458378/tv_anime_re_zero_kara_hajimeru_isekai_seikatsu_yori_ram_ga_tenshi_no_yosoi_de_relax_time_ni_toujou4_rts6ka.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458378/tv_anime_re_zero_kara_hajimeru_isekai_seikatsu_yori_ram_ga_tenshi_no_yosoi_de_relax_time_ni_toujou5_gngtiw.jpg","TVアニメ「Re:ゼロから始める異世界生活」より、ラムが天使の装いでRelax timeに登場！","0000-00-00 00:00:00","2026-05-04 18:41:40",NULL,NULL
"52","ホロライブ #hololive IF -Relax time-轟はじめ","18","約12cm","全1種","ホロライブ #hololive","18","2026-04","2026-04-28","2026-04-28","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458373/hololive_if_relax_time_todoroki_hajime_z7gjbc.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458373/hololive_if_relax_time_todoroki_hajime2_c807yk.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458374/hololive_if_relax_time_todoroki_hajime3_ijgpqy.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458374/hololive_if_relax_time_todoroki_hajime4_fgboc2.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458375/hololive_if_relax_time_todoroki_hajime5_zuy6qg.jpg","ホロライブメンバーの様々なシチュエーションを妄想する『#hololive IF』シリーズ。ふとした瞬間の「オフショット」の、自然体で可愛い瞬間をとらえたフィギュアシリーズ「Relax time」にhololive DEV_IS ReGLOSSの番長こと『轟はじめ』がついに登場。真っす組たち待望のオフスタイルの衣装でフィギュア化！2025年3月の配信がもとになり商品化。

轟はじめとは
宇宙一の番長を目指すなんでも屋。なぜ宇宙一なのか、なぜ番長なのかは明らかにされていない。じっとしていられないタイプで自分の体を動かすことが好き。逆に道具を扱うことは苦手で料理も出来ない。相棒の『ばんぺん』から日々、番長たる教えを受けている。","0000-00-00 00:00:00","2026-05-04 18:41:42",NULL,NULL
"53","お隣の天使様にいつの間にか駄目人間にされていた件 -Relax time-椎名真昼","19","約13cm","全1種","お隣の天使様にいつの間にか駄目人間にされていた件","18","2026-05","2026-05-14","2026-05-14","got","0","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458376/otonari_no_tenshi_sama_ni_itsu_no_ma_ni_ka_dame_ningen_ni_sareteita_ken_relax_time_shiina_mahiru_kev3lf.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777458377/otonari_no_tenshi_sama_ni_itsu_no_ma_ni_ka_dame_ningen_ni_sareteita_ken_relax_time_shiina_mahiru2_jevx4r.jpg",,,,"好評だった2025年3月登場の「お隣の天使様にいつの間にか駄目人間にされていた件 -Relax time-椎名真昼」がアニメ2期に合わせて再登場。はねこと先生描き下ろしの「原作 特装版7巻」表紙イラストをフィギュア化！クリア素材で表現した天使様の透き通る髪の毛にも注目！

※2025年3月登場済「お隣の天使様にいつの間にか駄目人間にされていた件 -Relax time-椎名真昼」の再登場となります。
※再生産の場合、製造の都合上、初販の仕様と一部異なることがございます。","0000-00-00 00:00:00","2026-05-21 15:07:52",NULL,NULL
"54","ワンピース BATTLE RECORD COLLECTION-MONKEY.D.LUFFY GEAR5 Ⅱ-","2","約17cm","全1種","ワンピース","13","2026-03","2026-03-12","2026-03-12","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776349426/one-piece_BATTLE_RECORD_COLLECTION-MONKEY.D.LUFFY_GEAR5_%E2%85%A1_s0c0vt.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776349426/one-piece_BATTLE_RECORD_COLLECTION-MONKEY.D.LUFFY_GEAR5_%E2%85%A12_ufbbaq.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776349426/one-piece_BATTLE_RECORD_COLLECTION-MONKEY.D.LUFFY_GEAR5_%E2%85%A13_zehdbj.jpg",,,"「BATTLE RECORD COLLECTION」シリーズから「モンキー・Ｄ・ルフィ」がギア５の姿で登場！","0000-00-00 00:00:00","2026-05-04 18:41:45",NULL,NULL
"55","ワンピース BATTLE RECORD COLLECTION-MONKEY.D.GARP Ⅱ-","2","約16cm","全1種","ワンピース","13","2026-03","2026-03-12","2026-03-12","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776350370/one-piece_BATTLE_RECORD_COLLECTION-MONKEY.D.GARP_%E2%85%A1_iqziri.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776350370/one-piece_BATTLE_RECORD_COLLECTION-MONKEY.D.GARP_%E2%85%A12_uyv1a2.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776350370/one-piece_BATTLE_RECORD_COLLECTION-MONKEY.D.GARP_%E2%85%A13_dgaqcx.jpg",,,"「BATTLE RECORD COLLECTION」シリーズから「モンキー・D・ガープ」が若き日の姿で登場！","0000-00-00 00:00:00","2026-05-04 18:41:49",NULL,NULL
